new_ward_code,old_ward_code
"26944","26944"
"26944","26941"
"26944","26926"
"26944","26950"
"31942","31942"
"31942","31945"
"31942","31960"
"31942","31963"
"00025","00031"
"00025","00025"
"00025","00034"
"00025","00028"
"28306","28300"
"28306","28306"
"28306","28318"
"25654","25723"
"25654","25654"
"25654","25678"
"00256","00259"
"00256","00262"
"00256","00241"
"00256","00247"
"00256","00256"
"26809","26812"
"26809","26809"
"26809","26821"
"07147","07150"
"07147","07144"
"07147","07147"
"31840","31831"
"31840","31840"
"31840","31837"
"14329","14527"
"14329","14344"
"14329","14320"
"14329","14323"
"14329","14329"
"14329","14341"
"14329","14338"
"14329","14332"
"14329","14536"
"14329","14347"
"14329","14350"
"21664","21667"
"21664","21658"
"21664","21664"
"21655","21655"
"21655","21643"
"21655","21646"
"21673","21673"
"21673","21679"
"21661","21661"
"21661","21652"
"21670","21670"
"21670","21676"
"21670","21682"
"00070","00043"
"00070","00052"
"00070","00049"
"00070","00061"
"00070","00046"
"00070","00064"
"00070","00058"
"00070","00040"
"00070","00055"
"00070","00076"
"00070","00070"
"00337","00337"
"00337","00655"
"17110","17110"
"17110","17116"
"17110","17104"
"00331","00319"
"00331","00331"
"07114","07129"
"07114","07114"
"07114","07108"
"07114","07111"
"07030","07030"
"07030","07063"
"07030","07066"
"18832","18847"
"18832","18832"
"18832","18841"
"07168","07159"
"07168","07168"
"07168","07156"
"00694","00694"
"00694","00949"
"00694","00946"
"00691","00692"
"00691","00691"
"00691","00697"
"00691","00688"
"00691","00934"
"18652","18652"
"18652","18643"
"06676","06670"
"06676","06676"
"06676","06667"
"13366","13303"
"13366","13366"
"30769","30775"
"30769","30772"
"30769","30778"
"30769","30769"
"06652","06652"
"06652","06664"
"09556","09544"
"09556","09553"
"09556","09541"
"09556","09556"
"09556","09542"
"09556","09538"
"09556","09551"
"14758","15859"
"14758","14791"
"14758","14755"
"14758","14761"
"14758","14758"
"22933","22933"
"22933","23062"
"22933","23104"
"26113","26113"
"26113","26110"
"04795","04804"
"04795","04798"
"04795","04807"
"04795","04816"
"04795","04801"
"04795","04795"
"04795","04918"
"27211","27211"
"27211","27214"
"11533","11527"
"11533","11533"
"11533","11530"
"20257","20254"
"20257","20245"
"20257","20257"
"20257","20258"
"22261","22246"
"22261","22261"
"22261","22282"
"27163","27172"
"27163","27166"
"27163","27163"
"20200","20198"
"20200","20200"
"20200","20302"
"25849","25852"
"25849","25849"
"29398","29248"
"29398","29398"
"32041","32041"
"32041","32038"
"32041","32035"
"32041","32020"
"25645","25645"
"25645","25651"
"20314","20314"
"20314","20323"
"20314","20329"
"20014","20002"
"20014","20014"
"20014","19891"
"31201","31204"
"31201","31201"
"31201","31189"
"11689","11683"
"11689","11686"
"11689","11689"
"19804","20023"
"19804","19803"
"19804","19804"
"19975","19978"
"19975","19975"
"19975","19984"
"19996","19996"
"19996","20011"
"19996","20008"
"20350","20350"
"20350","20344"
"20350","20389"
"06688","06697"
"06688","06688"
"14797","14764"
"14797","14770"
"14797","14767"
"14797","14773"
"14797","14776"
"14797","14779"
"14797","14785"
"14797","14794"
"14797","14797"
"14797","14782"
"09325","09325"
"09325","09331"
"11413","11422"
"11413","11413"
"11413","11414"
"11413","11416"
"11413","11425"
"16645","16633"
"16645","16642"
"16645","16645"
"20242","20227"
"20242","20230"
"20242","20233"
"20242","20236"
"20242","20242"
"10525","10514"
"10525","10513"
"10525","10516"
"10525","10525"
"16597","16597"
"16597","16606"
"16597","16600"
"18781","18781"
"18781","18808"
"18781","18802"
"20194","20194"
"20194","20195"
"20194","20293"
"26005","26005"
"26005","26272"
"11602","11296"
"11602","11602"
"11602","11599"
"11602","11587"
"11311","11320"
"11311","11311"
"11311","11323"
"11311","11305"
"11311","11302"
"11311","11299"
"11980","11968"
"11980","11980"
"11980","12388"
"06685","06691"
"06685","06694"
"06685","06685"
"00097","00037"
"00097","00067"
"00097","00001"
"00097","00094"
"00097","00097"
"00097","00106"
"00097","00244"
"29955","29955"
"29955","29959"
"29955","29965"
"13984","13705"
"13984","13975"
"13984","13984"
"20410","20398"
"20410","20404"
"20410","20410"
"20410","20428"
"20410","20425"
"20401","20422"
"20401","20407"
"20401","20401"
"20401","20419"
"20413","20413"
"20413","20416"
"20413","20431"
"23586","23581"
"23586","23586"
"23586","23569"
"31789","31789"
"31789","31792"
"31789","31786"
"27715","27715"
"27715","27692"
"27715","27709"
"00364","00364"
"00364","00373"
"00364","00349"
"00364","00346"
"13384","13384"
"13384","13423"
"13384","13417"
"00229","00229"
"00229","00238"
"00229","00232"
"00229","00214"
"19774","20029"
"19774","19810"
"19774","19774"
"13402","13402"
"13402","13408"
"20017","20017"
"20017","20020"
"20017","20005"
"09187","09187"
"09187","09184"
"09187","09226"
"09187","09214"
"09187","09235"
"09187","09172"
"10675","10675"
"10675","10735"
"10675","10738"
"11443","11431"
"11443","11434"
"11443","11443"
"09552","09565"
"09552","09552"
"27787","27787"
"27787","27788"
"27787","27806"
"23293","23281"
"23293","23287"
"23293","23293"
"23293","23290"
"23293","23299"
"06187","05971"
"06187","06187"
"06187","06226"
"06187","06244"
"06187","06235"
"04894","04894"
"04894","04921"
"04894","04912"
"23235","23234"
"23235","23235"
"23235","23237"
"23235","23248"
"24846","24769"
"24846","24846"
"24846","24862"
"05710","05659"
"05710","05710"
"05710","05695"
"05710","05701"
"05710","05713"
"26800","26800"
"26800","26794"
"26800","26818"
"13444","13444"
"13444","13507"
"13444","13513"
"20197","20197"
"20197","20296"
"07180","07174"
"07180","07186"
"07180","07189"
"07180","07180"
"27694","27694"
"27694","27697"
"27694","27691"
"27694","27685"
"27694","27700"
"27694","27703"
"00145","00145"
"00145","00148"
"00145","00154"
"31473","31473"
"31473","31475"
"31473","31474"
"26833","26830"
"26833","26833"
"26020","26020"
"26020","26002"
"26020","25999"
"25630","25630"
"25630","25636"
"25630","25639"
"25630","25648"
"25630","25642"
"26380","26056"
"26380","26380"
"26380","26371"
"26566","26566"
"26566","26563"
"26566","26567"
"26080","26080"
"26080","26077"
"26080","26083"
"26080","26086"
"26080","26107"
"31471","31477"
"31471","31478"
"31471","31471"
"25840","25840"
"25840","25828"
"30377","30377"
"30377","30378"
"30377","30394"
"31480","31481"
"31480","31480"
"31480","31472"
"26857","26857"
"26857","26854"
"28297","28312"
"28297","28297"
"26860","26860"
"26860","26866"
"31183","31180"
"31183","31183"
"30307","30280"
"30307","30283"
"30307","30286"
"30307","30295"
"30307","30298"
"30307","30307"
"29263","29236"
"29263","29263"
"02647","02635"
"02647","02644"
"02647","02647"
"02647","02665"
"02647","02641"
"02647","02911"
"25966","25966"
"25966","25984"
"00199","00187"
"00199","00199"
"31951","31951"
"31951","31954"
"31951","31948"
"24778","24772"
"24778","24775"
"24778","24778"
"11383","11395"
"11383","11404"
"11383","11405"
"11383","11371"
"11383","11383"
"13393","13390"
"13393","13393"
"13393","13405"
"10532","10534"
"10532","10532"
"10532","10531"
"10532","10528"
"11506","11506"
"11506","11518"
"10603","10594"
"10603","10600"
"10603","10603"
"13435","13435"
"13435","13432"
"13435","13438"
"32014","32014"
"32014","32032"
"00328","00328"
"00328","00334"
"11488","11488"
"11488","11512"
"11488","11485"
"05983","05983"
"05983","05989"
"25441","25444"
"25441","25441"
"27238","27247"
"27238","27238"
"27238","27253"
"02215","02488"
"02215","02215"
"02215","02216"
"02215","02200"
"02215","02203"
"02215","02206"
"09409","09418"
"09409","09403"
"09409","09409"
"06712","06712"
"06712","06742"
"06712","06751"
"06712","06721"
"06712","06745"
"06709","06715"
"06709","06709"
"06709","06748"
"06736","06730"
"06736","06736"
"06760","06760"
"06760","06805"
"22918","22915"
"22918","22918"
"22918","22957"
"03151","03184"
"03151","03148"
"03151","03151"
"03151","03178"
"03334","03124"
"03334","03139"
"03334","03334"
"07069","07069"
"07069","07105"
"07069","07123"
"07069","07117"
"03980","04012"
"03980","03980"
"03980","04027"
"03979","03979"
"03979","04030"
"12103","12103"
"12103","12118"
"12103","12106"
"12103","12109"
"02509","02509"
"02509","02497"
"02509","02506"
"13708","13732"
"13708","13735"
"13708","13708"
"29884","29881"
"29884","29884"
"29884","30091"
"28273","28273"
"28273","28288"
"28273","28291"
"28435","28435"
"28435","28437"
"28435","28453"
"28435","28447"
"31753","31747"
"31753","31750"
"31753","31753"
"28261","28261"
"28261","28264"
"28261","28279"
"19930","19930"
"19930","19912"
"19930","19927"
"30301","30304"
"30301","30301"
"29888","29888"
"29888","29887"
"29888","30097"
"29888","30106"
"31684","31525"
"31684","31684"
"31684","31690"
"04273","04270"
"04273","04276"
"04273","04273"
"04273","04522"
"24615","24614"
"24615","24615"
"14359","14359"
"14359","14356"
"14359","14554"
"14359","14557"
"14359","14551"
